Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
65,2,0,0,0,58138.0,1617,4644,58,635,88,546,172,88,88,8,10,4,3,0,7,2
68,2,0,1,2,46344.0,27,4094,38,11,1,6,2,1,6,1,1,2,2,0,5,0
57,2,1,0,0,71613.0,776,4293,26,426,49,127,111,21,42,8,2,10,1,0,4,2
38,2,1,1,1,26646.0,53,4120,26,11,4,20,10,3,5,2,0,4,2,0,6,0
41,4,1,1,1,58293.0,422,4142,94,173,43,118,46,27,15,5,3,6,5,0,5,1
55,3,1,1,1,62513.0,716,4274,16,520,42,98,0,42,14,6,4,10,2,0,6,1
51,2,0,1,1,55635.0,590,4574,34,235,65,164,50,49,27,7,3,7,4,0,6,1
37,4,1,1,1,33454.0,169,4398,32,76,10,56,3,1,23,4,0,4,2,0,8,0
48,4,1,1,1,30351.0,46,4369,19,14,0,24,3,3,2,3,0,2,1,0,9,0
72,4,1,1,2,5648.0,49,4089,68,28,0,6,1,1,13,1,0,0,1,1,20,0
39,2,1,1,1,51381.5,19,4207,11,5,5,6,0,2,1,1,0,2,1,0,7,0
46,0,1,0,0,7500.0,61,4574,59,6,16,11,11,1,16,2,0,3,1,0,8,0
63,2,0,0,0,63033.0,1102,4207,82,194,61,480,225,112,30,3,4,8,1,0,2,2
70,3,0,1,2,59354.0,310,4207,53,233,2,53,3,5,14,6,1,5,3,0,6,1
35,2,1,0,0,17323.0,46,4608,38,3,14,17,6,1,5,1,0,3,1,0,8,0
76,4,0,0,0,82800.0,1315,4563,23,1006,22,115,59,68,45,7,6,12,1,2,3,2
42,2,1,1,2,41850.0,96,4533,51,53,5,19,2,13,4,3,0,3,3,0,8,0
76,2,1,0,0,37760.0,317,4648,20,84,5,38,150,12,28,4,1,6,2,0,7,1
73,3,1,1,1,76995.0,1782,4439,91,1012,80,498,0,16,176,11,4,9,2,1,5,1
37,1,0,1,1,33812.0,133,4584,86,4,17,19,30,24,39,2,1,3,2,0,6,0
40,2,1,0,0,37040.0,316,4671,41,86,2,73,69,38,48,4,2,5,1,0,8,1
43,2,1,1,1,2447.0,1730,4520,42,1,1,1725,1,1,1,0,28,0,15,0,1,1
73,4,1,1,1,58607.0,972,4534,63,867,0,86,0,0,19,2,3,9,3,1,8,1
68,4,1,1,1,65324.0,544,4150,0,384,0,102,21,32,5,6,2,9,3,0,4,1
71,2,1,1,1,40689.0,444,4449,69,270,3,27,39,6,99,7,1,5,7,0,8,1
53,2,0,0,0,18589.0,75,4524,89,6,4,25,15,12,13,2,1,3,2,0,7,0
46,2,1,1,2,53359.0,257,4379,4,173,4,30,3,6,41,5,1,4,4,0,7,1
36,2,0,1,1,51381.5,637,4475,19,5,1,3,3,263,362,27,0,0,0,0,1,1
33,2,1,1,1,38360.0,131,4375,26,36,2,42,20,21,10,2,1,4,2,0,3,0
57,4,1,0,0,84618.0,1672,4200,96,684,100,801,21,66,0,6,9,10,1,1,2,2
33,3,0,0,0,10979.0,30,4019,34,8,4,10,2,2,4,3,0,3,2,0,5,0
59,3,1,0,0,38620.0,318,4395,56,112,17,44,34,22,89,2,5,3,1,0,3,2
52,2,1,1,1,40548.0,120,4608,31,110,0,5,2,0,3,2,1,4,2,1,5,0
70,4,0,1,2,46610.0,302,4589,8,96,12,96,33,22,43,4,1,6,6,0,6,1
76,3,1,0,0,68657.0,1196,4475,4,482,34,471,119,68,22,3,5,9,1,0,7,2
